name,latitude,longitude
La Forest,48.4265,-4.30731
Kerhuon,48.40931,-4.3882
Brest,48.38784,-4.48041
Vitré,48.12266,-1.21216
Pontchaillou,48.11864,-1.69122
Betton,48.18142,-1.6342
Chevaigné,48.20895,-1.6302
St-Germain-sur-Ille,48.23955,-1.65358
Montreuil-sur-Ille,48.3072,-1.6741
Combourg,48.41607,-1.72815
Bonnemain,48.47628,-1.76557
Dol,48.54445,-1.75037
La Fresnais,48.5937,-1.84296
La Gouesnière-Cancale,48.61462,-1.90596
La Brohinière,48.21367,-2.11046
St-Brieuc,48.50797,-2.76497
Plouaret,48.60652,-3.46669
Kerauzern,48.65934,-3.44565
Taulé-Henvic,48.61683,-3.89878
Henvic,48.62378,-3.92799
St-Pol-de-Léon,48.67642,-3.98677
Roscoff,48.72067,-3.98313
Messac-Guipry,47.82223,-1.81796
Martigné-Ferchaud,47.83195,-1.31408
Retiers,47.91319,-1.3902
Le Theil-de-Bretagne,47.91884,-1.43191
Janzé,47.95551,-1.49762
Corps-Nuds,47.98512,-1.57545
Vern,48.047,-1.59637
St-Jacques-de-la-Lande,48.06765,-1.71358
Ker-Lann-Bruz,48.04344,-1.74059
Bruz,48.02849,-1.75162
Guichen-Bourg-des-Comptes,47.93523,-1.76018
St-Senoux-Pléchâtel,47.89767,-1.76621
Penthièvre,47.5581,-3.13322
L'Isthme,47.54611,-3.13413
Kerhostin,47.53636,-3.13653
St-Pierre-Quiberon,47.52087,-3.13873
Quiberon,47.48546,-3.11843
Pluvigner,47.76581,-3.02154
Lambel-Camors,47.83293,-3.03385
Baud,47.87242,-3.07399
St-Nicolas-des-Eaux,47.98367,-3.03999
Pontivy,48.06182,-2.96606
St-Brieuc,48.50797,-2.76497
St-Julien (Côtes-d'Armor),48.45222,-2.81355
Plaintel,48.4353,-2.82242
Quintin,48.39764,-2.89172
Le Pas,48.36653,-2.8776
Ploeuc-L'Hermitage,48.3302,-2.82853
Uzel,48.28172,-2.80843
La Motte,48.22586,-2.75488
Loudéac,48.18032,-2.76287
Pontivy,48.06182,-2.96606
Rosporden,47.96029,-3.83316
Quimper,47.99438,-4.0932
Quimper,47.99438,-4.0932
Guingamp,48.55623,-3.14293
Carnoët-Locarn,48.34115,-3.49046
Carhaix,48.27792,-3.56253
Guingamp,48.55623,-3.14293
Gourland,48.56098,-3.16691
Brélidy-Plouëc,48.66884,-3.19593
Paimpol,48.77733,-3.04557
Coussey,48.40642,5.68594
Neufchâteau,48.35714,5.68936
Liffol-le-Grand,48.3138,5.58656
Prez-sous-Lafauche,48.29072,5.51478
St-Blin,48.26672,5.43781
Manois,48.27412,5.36453
Rimaucourt,48.26386,5.33295
Andelot (Haute-Marne),48.24485,5.30857
Chantraines,48.22056,5.24633
Briaucourt,48.21202,5.20689
Bologne,48.19949,5.13593
Jonchery,48.13305,5.09021
Marault,48.1818,5.11306
Bologne,48.19858,5.13426
Vraincourt-Viéville,48.23707,5.12384
Vignory,48.27047,5.12419
Froncles-Buxières,48.29664,5.1416
Gudmont,48.33749,5.14085
Donjeux,48.36593,5.14842
Fronville-St-Urbain,48.40132,5.15608
Joinville (Haute-Marne),48.44474,5.1443
Curel,48.48966,5.13094
Chevillon,48.52427,5.11183
Bayard,48.5515,5.07629
Eurville-Bienville,48.5829,5.04489
Ancerville-Guë,48.617,5.00979
Marnaval,48.6287,4.99202
St-Dizier,48.64278,4.9472
Villiers-en-Lieu,48.66334,4.8975
St-Eulien,48.67821,4.86814
Vouillers,48.68745,4.84986
St-Vrain,48.69788,4.8291
St-Dizier,48.64168,4.95105
Doulevant-le-Château,48.37569,4.92773
Dommartin-le-St-Père,48.39518,4.91832
Courcelles-sur-Blaise,48.41433,4.93487
Dommartin-le-Franc,48.42964,4.95442
Vaux-Montreuil,48.47387,4.96525
Brousseval,48.48947,4.96192
Wassy,48.49408,4.94237
Pléchâtel,47.87172,-1.77619
Messac-Guipry,47.82223,-1.81796
Fougeray-Langon,47.72993,-1.85147
Beslé,47.69896,-1.86999
Massérac,47.67471,-1.9138
Redon,47.65228,-2.08852
Redon,47.65228,-2.08852
St-Jacut,47.67896,-2.18828
Malansac,47.67577,-2.29519
Questembert,47.68308,-2.45011
Elven,47.70161,-2.62937
Vannes,47.66482,-2.75192
Ste-Anne,47.67837,-2.9611
Auray,47.68002,-3.00001
Landévant,47.7595,-3.12398
Hennebont,47.7992,-3.28598
Lorient,47.75555,-3.36564
Gestel,47.80296,-3.44298
Quimperlé,47.86922,-3.55259
Bannalec,47.9268,-3.70603
Rosporden,47.96029,-3.83316
St-Yvy,47.97524,-3.92683
Quimper,47.99438,-4.0932
Quéménéven,48.11579,-4.08585
Quimerch,48.28245,-4.09581
Hanvec,48.34159,-4.13528
Daoulas,48.35952,-4.23994
Dirinon,48.39266,-4.28509
Landerneau,48.45347,-4.25644
La Brohinière,48.21367,-2.11046
Auray,47.68002,-3.00001
Belz-Ploemel,47.65227,-3.07228
Plouharnel-Carnac,47.60374,-3.11863
Les Sables-Blancs,47.57522,-3.1324
Pleine-Fougères,48.52988,-1.56565
Plerguer,48.53157,-1.85088
Miniac,48.53145,-1.91499
Pleudihen,48.49949,-1.9618
La Hisse,48.49607,-2.00429
Dinan,48.45661,-2.0544
Plancoët,48.52175,-2.22922
Landébia,48.5076,-2.33158
Vitré,48.12266,-1.21216
Châteaubourg,48.10621,-1.40571
Noyal-Acigné,48.11868,-1.52963
Cesson-Sévigné-Halte,48.11281,-1.60222
Montfort-sur-Meu,48.13897,-1.94921
Montauban-de-Bretagne,48.19021,-2.05258
La Brohinière,48.21367,-2.11046
Caulnes,48.28453,-2.15535
Broons,48.33353,-2.23586
Plénée-Jugon,48.37675,-2.3546
Yffiniac,48.47008,-2.65225
St-Brieuc,48.50797,-2.76497
La Méaugon,48.49946,-2.84401
Plouvara-Plerneuf,48.50869,-2.89244
Châtelaudren-Plouagat,48.53335,-2.97458
Guingamp,48.55623,-3.14293
Belle-Isle-Bégard,48.59376,-3.32245
Plouaret,48.60652,-3.46669
Plounérin,48.58144,-3.56799
Morlaix,48.5777,-3.8331
Pleyber-Christ,48.50732,-3.88293
St-Thégonnec,48.49442,-3.94844
Guimiliau,48.48526,-3.9991
Landivisiau,48.49615,-4.08188
La Roche,48.47372,-4.20554
Landerneau,48.45347,-4.25644
Meilleray,48.78368,3.41785
Lescherolles,48.77233,3.34581
La Ferté-Gaucher,48.78219,3.2977
Jouy-sur-Morin-Le Marais,48.79062,3.27351
St-Siméon,48.79925,3.20855
Chailly-Boissy-Le Châtel,48.81427,3.15193
Coulommiers,48.80765,3.08184
Mouroux,48.81328,3.04473
Faremoutiers-Pommeuse,48.80855,2.99341
Guérard-La Celle-sur-Morin,48.81043,2.95464
Dammartin-Tigeaux,48.8106,2.92573
Mortcerf,48.78912,2.90774
La Houssaye-Crèvecoeur,48.75461,2.88346
Marles-en-Brie,48.73427,2.8675
Tournan,48.73931,2.75957
Magenta,48.88034,2.35837
Mulhouse-Ville,47.74199,7.34344
Hasenrain,47.73558,7.32946
Brunstatt,47.71979,7.31414
Flaxlanden,47.69845,7.30421
Zillisheim,47.69434,7.2945
Illfurth,47.67603,7.26818
Tagolsheim,47.65482,7.26391
Walheim,47.64179,7.26316
Altkirch,47.6271,7.23959
Ballersdorf,47.61985,7.15515
Dannemarie,47.62741,7.1239
Valdieu,47.63114,7.05578
Montreux-Vieux,47.61738,7.02464
Petit-Croix,47.6101,6.99463
Chèvremont,47.62166,6.92074
Belfort,47.63251,6.85414
Trois-Chênes,47.6479,6.84605
Valdoie,47.66514,6.83741
Bas-Évette,47.68086,6.80692
Champagney,47.70315,6.70123
Ronchamp,47.69907,6.62319
Lure,47.68296,6.49275
Genevreuille,47.67834,6.38137
Creveney-Saulx,47.68301,6.287
Colombier,47.66091,6.2147
Vesoul,47.61747,6.15174
Vaivre,47.63328,6.10366
Grattery,47.67172,6.0823
Port-sur-Saône,47.68971,6.05314
Port-d'Atelier-Amance,47.76247,6.03999
Montureux-lès-Baulay,47.81299,5.98703
Jussey,47.83696,5.90323
Barges-Cemboing,47.85517,5.86334
Vitrey-Vernois,47.83245,5.7812
Laferté-sur-Amance,47.82209,5.68365
Charmoy-Fayl-Billot,47.8259,5.62874
Hortes,47.83408,5.5491
Chaudenay (Haute-Marne),47.82492,5.49012
Culmont-Chalindrey,47.80974,5.44302
Langres,47.87723,5.34471
Humes,47.90584,5.30217
Rolampont,47.9488,5.28289
